Surah,Huruf,Kata,Ayat
Al-Fātih. ah,143,29,7
Al-Baqarah,"26,249","6,140",286
Āli ‘Imrān,"14,985","3,501",200
An-Nisā’,"16,332","3,763",176
Al-Mā’idah,"12,206","2,837",120
Al-An‘ām,"12,726","3,056",165
Al-A‘rāf,"14,435","3,341",206
Al-Anfāl,"5,387","1,242",75
At-Taubah,"11,115","2,505",129
Yūnus,"7,589","1,839",109
Hūd,"7,817","1,946",123
Yūsuf,"7,307","1,795",111
Ar-Ra‘d,"3,545",853,43
Ibrāhīm,"3,539",830,52
Al-H. ijr,"2,882",657,99
An-Nah. l,"7,832","1,844",128
Al-Isrā’,"6,643","1,558",111
Al-Kahf,"6,552","1,583",110
Maryam,"3,935",971,98
Tā Hā,"5,399","1,353",135
Al-Anbiyā’,"5,094","1,174",112
Al-H. ajj,"5,314","1,279",78
Al-Mu’minūn,"4,483","1,052",118
An-Nūr,"5,754","1,319",64
Al-Furqān,"3,878",896,77
Asy-Syu‘arā’,"5,630","1,320",227
An-Naml,"4,790","1,159",93
Al-Qas. as.,"5,930","1,438",88
Al-‘Ankabūt,"4,317",978,69
Ar-Rūm,"3,472",817,60
Luqmān,"2,171",550,34
As-Sajdah,"1,563",372,30
Al-Ah. zāb,"5,788","1,303",73
Saba’,"3,594",884,54
Fāt.ir,"3,238",778,45
Yā Sīn,"3,068",730,83
As. -S. āffāt,"3,899",865,182
S. ād,"3,065",735,88
Az-Zumar,"4,869","1,177",75
Gāfir,"5,108","1,226",85
Fus. s. ilat,"3,365",794,54
Asy-Syūrā,"3,522",860,53
Az-Zukhruf,"3,609",836,89
Ad-Dukhān,"1,474",346,59
Al-Jās. iyah,"2,085",488,37
Al-Ah. qāf,"2,667",645,35
Muh. ammad,"2,423",542,38
Al-Fath.,"2,510",560,29
Al-H. ujurāt,"1,533",353,18
Qāf,"1,507",373,45
"Az.   . āriyāt
-Z","1,546",360,60
At-T. ūr,"1,324",312,49
An-Najm,"1,433",360,62
Al-Qalam,"1,469",342,55
Ar-Rah. mān,"1,647",352,78
Al-Wāqi‘ah,"1,756",379,96
Al-H. adīd,"2,545",575,29
Al-Mujādalah,"2,046",475,22
Al-H. asyr,"1,970",447,24
Al-Mumtah. anah,"1,560",352,13
As. -S. aff,966,226,14
Al-Jumu‘ah,768,177,11
Al-Munāfiqūn,801,181,11
At-Tagābun,"1,091",242,18
At-T. alāq,"1,203",289,12
At-Tah. rīm,"1,105",254,12
Al-Mulk,"1,347",333,30
Al-Qalam,"1,289",301,52
Al-H. āqqah,"1,133",260,52
Al-Ma‘ārij,971,217,44
Nūh.,965,227,28
Al-Jinn,"1,109",286,28
Al-Muzzammil,854,200,20
Al-Muddas. s. ir,"1,035",256,56
Al-Qiyāmah,676,164,40
Al-Insān,"1,087",243,31
Al-Mursalāt,841,181,50
An-Naba’,796,174,40
An-Nāzi‘āt,785,179,46
‘Abasa,552,133,42
At-Takwīr,435,104,29
Al-Infit.ār,333,81,19
Al-Mutaffifīn,750,169,36
Al-Insyiqāq,445,108,25
Al-Burūj,469,109,22
At-T. āriq,254,61,17
Al-A‘lā,296,72,19
Al-Gāsyiyah,382,92,26
Al-Fajr,584,139,30
Al-Balad,342,82,20
Asy-Syams,253,54,15
Al-Lail,314,71,21
Ad-D. uh. ā,165,40,11
Asy-Syarh.,102,27,8
At-Tīn,162,34,8
Al-‘Alaq,288,72,19
Al-Qadr,115,30,5
Al-Balad,404,94,8
Az-Zalzalah,158,36,8
Al-‘Ādiyāt,169,40,11
Al-Qāri‘ah,160,36,11
At-Takās. ur,123,28,8
Al-‘As. r,73,14,3
Al-Humazah,134,33,9
Al-Fīl,97,23,5
Quraisy,77,17,4
Al-Mā‘ūn,114,25,7
Al-Kaus. ar,43,10,3
Al-Kāfirūn,99,27,6
An-Nas. r,80,19,3
Al-Lahab,81,23,5
Al-Ikhlās,47,15,4
Al-Falaq,73,23,5
An-Nās,80,20,6